I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
337770.000000,0.004395,0.004883,-1.044434,0.145022,-0.003628,-0.097847,0.001348,0.010667,-1.003170,0.152899,0.016986,-0.090486,-0.539091,0.051670,-0.045058,-0.000000,0.000000,-0.000000,-0.000000,0.001348,0.010667,-1.003170,0.152899,0.016986,-0.090486,0.166754,0.000000,0.000000,2.000000,4.000000,0.465873
337773.000000,0.002441,0.007813,-1.042969,0.023071,0.057348,-0.158823,0.001350,0.010675,-1.003170,0.159911,0.008993,-0.088352,-0.539126,0.051617,-0.045057,-0.000000,0.000000,-0.000000,-0.000000,0.001350,0.010675,-1.003170,0.159911,0.008993,-0.088352,0.166779,0.000000,0.000000,2.000000,4.000000,0.465873
337774.000000,0.002930,0.005859,-1.043945,0.205998,-0.003628,-0.158823,0.001352,0.010679,-1.003170,0.157596,0.007038,-0.090575,-0.539138,0.051594,-0.045057,-0.000000,0.000000,-0.000000,-0.000000,0.001352,0.010679,-1.003170,0.157596,0.007038,-0.090575,0.166787,0.000000,0.000000,2.000000,4.000000,0.465873
337775.000000,0.002441,0.005371,-1.045410,0.205998,0.057348,-0.158823,0.001353,0.010683,-1.003170,0.152567,0.006854,-0.094389,-0.539156,0.051572,-0.045057,-0.000000,0.000000,-0.000000,-0.000000,0.001353,0.010683,-1.003170,0.152567,0.006854,-0.094389,0.166800,0.000000,0.000000,2.000000,4.000000,0.465873
337776.000000,0.004883,0.005371,-1.040527,0.205998,-0.003628,-0.097847,0.001356,0.010687,-1.003170,0.147813,0.007900,-0.099654,-0.539178,0.051550,-0.045057,-0.000000,0.000000,-0.000000,-0.000000,0.001356,0.010687,-1.003170,0.147813,0.007900,-0.099654,0.166818,0.000000,0.000000,2.000000,4.000000,0.465873
337777.000000,0.003906,0.005371,-1.044434,0.145022,0.057348,-0.097847,0.001358,0.010692,-1.003170,0.144813,0.009707,-0.105492,-0.539203,0.051530,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001358,0.010692,-1.003170,0.144813,0.009707,-0.105492,0.166839,0.000000,0.000000,2.000000,4.000000,0.465873
337778.000000,0.003906,0.005371,-1.044434,0.145022,0.057348,-0.097847,0.001361,0.010698,-1.003169,0.143140,0.012252,-0.110339,-0.539230,0.051513,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001361,0.010698,-1.003169,0.143140,0.012252,-0.110339,0.166862,0.000000,0.000000,2.000000,4.000000,0.465873
337779.000000,0.003418,0.004883,-1.041992,0.145022,0.118323,-0.097847,0.001364,0.010703,-1.003169,0.142633,0.015687,-0.113173,-0.539258,0.051499,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001364,0.010703,-1.003169,0.142633,0.015687,-0.113173,0.166887,0.000000,0.000000,2.000000,4.000000,0.465873
337780.000000,0.003418,0.004883,-1.041992,0.145022,0.118323,-0.097847,0.001367,0.010710,-1.003168,0.143725,0.020254,-0.114256,-0.539285,0.051490,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001367,0.010710,-1.003168,0.143725,0.020254,-0.114256,0.166911,0.000000,0.000000,2.000000,4.000000,0.465873
337783.000000,0.002930,0.006348,-1.041992,0.205998,-0.003628,-0.219798,0.001378,0.010730,-1.003164,0.150449,0.036033,-0.112113,-0.539350,0.051496,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001378,0.010730,-1.003164,0.150449,0.036033,-0.112113,0.166977,0.000000,0.000000,2.000000,4.000000,0.465873
337784.000000,0.002930,0.005371,-1.044434,0.084047,-0.003628,-0.097847,0.001382,0.010738,-1.003163,0.151176,0.038680,-0.110462,-0.539370,0.051506,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001382,0.010738,-1.003163,0.151176,0.038680,-0.110462,0.166998,0.000000,0.000000,2.000000,4.000000,0.465873
337785.000000,0.001953,0.004883,-1.047363,0.145022,0.057348,-0.097847,0.001387,0.010745,-1.003161,0.151013,0.040086,-0.109124,-0.539389,0.051516,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001387,0.010745,-1.003161,0.151013,0.040086,-0.109124,0.167019,0.000000,0.000000,2.000000,4.000000,0.465873
337786.000000,0.001953,0.004883,-1.047363,0.145022,0.057348,-0.097847,0.001392,0.010753,-1.003159,0.149885,0.040561,-0.107176,-0.539410,0.051528,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001392,0.010753,-1.003159,0.149885,0.040561,-0.107176,0.167042,0.000000,0.000000,2.000000,4.000000,0.465873
337787.000000,0.001465,0.005371,-1.045410,0.145022,-0.003628,-0.097847,0.001397,0.010761,-1.003156,0.148304,0.040108,-0.104401,-0.539433,0.051539,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001397,0.010761,-1.003156,0.148304,0.040108,-0.104401,0.167066,0.000000,0.000000,2.000000,4.000000,0.465873
337788.000000,0.003418,0.003906,-1.046875,0.084047,-0.003628,-0.097847,0.001402,0.010769,-1.003154,0.146869,0.038540,-0.102339,-0.539457,0.051549,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001402,0.010769,-1.003154,0.146869,0.038540,-0.102339,0.167091,0.000000,0.000000,2.000000,4.000000,0.465873
337789.000000,0.001953,0.003906,-1.047852,0.084047,0.057348,-0.097847,0.001407,0.010777,-1.003150,0.145230,0.035963,-0.102285,-0.539482,0.051556,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001407,0.010777,-1.003150,0.145230,0.035963,-0.102285,0.167118,0.000000,0.000000,2.000000,4.000000,0.465873
337790.000000,0.001953,0.005859,-1.041504,0.205998,-0.064604,-0.158823,0.001412,0.010785,-1.003147,0.142981,0.033146,-0.103825,-0.539510,0.051560,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001412,0.010785,-1.003147,0.142981,0.033146,-0.103825,0.167146,0.000000,0.000000,2.000000,4.000000,0.465873
337793.000000,0.003418,0.004883,-1.044434,0.205998,-0.003628,-0.158823,0.001429,0.010809,-1.003135,0.140453,0.019810,-0.109809,-0.539602,0.051550,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001429,0.010809,-1.003135,0.140453,0.019810,-0.109809,0.167234,0.000000,0.000000,2.000000,4.000000,0.465873
337794.000000,0.004883,0.006836,-1.044434,0.145022,0.057348,-0.097847,0.001435,0.010816,-1.003131,0.140346,0.012878,-0.112264,-0.539633,0.051534,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001435,0.010816,-1.003131,0.140346,0.012878,-0.112264,0.167262,0.000000,0.000000,2.000000,4.000000,0.465873
337795.000000,0.000977,0.004395,-1.047363,0.145022,0.057348,-0.158823,0.001440,0.010823,-1.003127,0.140370,0.007381,-0.115355,-0.539664,0.051512,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001440,0.010823,-1.003127,0.140370,0.007381,-0.115355,0.167288,0.000000,0.000000,2.000000,4.000000,0.465873
337796.000000,0.001953,0.005371,-1.044434,0.205998,0.057348,-0.097847,0.001445,0.010830,-1.003123,0.141185,0.004275,-0.119159,-0.539694,0.051488,-0.045055,-0.000000,0.000000,-0.000000,-0.000000,0.001445,0.010830,-1.003123,0.141185,0.004275,-0.119159,0.167313,0.000000,0.000000,2.000000,4.000000,0.465873
337797.000000,0.003906,0.006836,-1.045410,0.205998,0.118323,-0.036871,0.001450,0.010837,-1.003118,0.143535,0.003338,-0.122908,-0.539722,0.051463,-0.045055,-0.000000,0.000000,-0.000000,-0.000000,0.001450,0.010837,-1.003118,0.143535,0.003338,-0.122908,0.167336,0.000000,0.000000,2.000000,4.000000,0.465873
337798.000000,0.003906,0.006836,-1.045410,0.205998,0.118323,-0.036871,0.001455,0.010843,-1.003114,0.148075,0.004772,-0.124872,-0.539745,0.051439,-0.045055,-0.000000,0.000000,-0.000000,-0.000000,0.001455,0.010843,-1.003114,0.148075,0.004772,-0.124872,0.167355,0.000000,0.000000,2.000000,4.000000,0.465873
337799.000000,0.003418,0.006836,-1.043457,0.205998,-0.003628,-0.158823,0.001459,0.010849,-1.003110,0.154415,0.008984,-0.124021,-0.539762,0.051420,-0.045055,-0.000000,0.000000,-0.000000,-0.000000,0.001459,0.010849,-1.003110,0.154415,0.008984,-0.124021,0.167368,0.000000,0.000000,2.000000,4.000000,0.465873
337800.000000,0.004395,0.005859,-1.042969,0.084047,0.057348,-0.097847,0.001463,0.010854,-1.003106,0.160840,0.015164,-0.121387,-0.539773,0.051407,-0.045054,-0.000000,0.000000,-0.000000,-0.000000,0.001463,0.010854,-1.003106,0.160840,0.015164,-0.121387,0.167377,0.000000,0.000000,2.000000,4.000000,0.465873
337803.000000,0.001465,0.007324,-1.043945,0.266974,-0.003628,-0.036871,0.001474,0.010867,-1.003093,0.170366,0.036312,-0.108693,-0.539784,0.051409,-0.045054,-0.000000,0.000000,-0.000000,-0.000000,0.001474,0.010867,-1.003093,0.170366,0.036312,-0.108693,0.167388,0.000000,0.000000,2.000000,4.000000,0.465873
337805.000000,0.002441,0.004883,-1.045898,0.205998,0.057348,-0.158823,0.001479,0.010874,-1.003084,0.178779,0.044722,-0.094541,-0.539775,0.051439,-0.045055,-0.000000,0.000000,-0.000000,-0.000000,0.001479,0.010874,-1.003084,0.178779,0.044722,-0.094541,0.167385,0.000000,0.000000,2.000000,4.000000,0.465873
337806.000000,0.003418,0.006348,-1.041992,0.145022,0.057348,-0.036871,0.001481,0.010876,-1.003080,0.183811,0.045673,-0.090163,-0.539763,0.051457,-0.045055,-0.000000,0.000000,-0.000000,-0.000000,0.001481,0.010876,-1.003080,0.183811,0.045673,-0.090163,0.167376,0.000000,0.000000,2.000000,4.000000,0.465873
337807.000000,0.002441,0.005859,-1.043457,0.145022,-0.003628,-0.158823,0.001483,0.010879,-1.003075,0.187941,0.045919,-0.087860,-0.539747,0.051475,-0.045055,-0.000000,0.000000,-0.000000,-0.000000,0.001483,0.010879,-1.003075,0.187941,0.045919,-0.087860,0.167364,0.000000,0.000000,2.000000,4.000000,0.465873
337808.000000,0.005371,0.003906,-1.043945,0.145022,0.057348,-0.097847,0.001485,0.010881,-1.003071,0.190598,0.045864,-0.086808,-0.539729,0.051492,-0.045055,-0.000000,0.000000,-0.000000,-0.000000,0.001485,0.010881,-1.003071,0.190598,0.045864,-0.086808,0.167348,0.000000,0.000000,2.000000,4.000000,0.465873
337809.000000,0.004395,0.003906,-1.043945,0.084047,0.118323,-0.158823,0.001486,0.010883,-1.003067,0.191293,0.045848,-0.086955,-0.539709,0.051510,-0.045055,-0.000000,0.000000,-0.000000,-0.000000,0.001486,0.010883,-1.003067,0.191293,0.045848,-0.086955,0.167333,0.000000,0.000000,2.000000,4.000000,0.465873
337810.000000,0.003418,0.005371,-1.045898,0.205998,0.057348,-0.097847,0.001487,0.010884,-1.003063,0.189453,0.047069,-0.088330,-0.539692,0.051529,-0.045055,-0.000000,0.000000,-0.000000,-0.000000,0.001487,0.010884,-1.003063,0.189453,0.047069,-0.088330,0.167319,0.000000,0.000000,2.000000,4.000000,0.465873
337813.000000,0.004395,0.007813,-1.045898,0.084047,-0.003628,-0.097847,0.001490,0.010888,-1.003053,0.175601,0.055546,-0.093770,-0.539666,0.051603,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001490,0.010888,-1.003053,0.175601,0.055546,-0.093770,0.167307,0.000000,0.000000,2.000000,4.000000,0.465873
337814.000000,0.003418,0.004395,-1.045410,0.205998,-0.003628,-0.036871,0.001490,0.010888,-1.003049,0.170278,0.057264,-0.094430,-0.539668,0.051632,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001490,0.010888,-1.003049,0.170278,0.057264,-0.094430,0.167314,0.000000,0.000000,2.000000,4.000000,0.465873
337815.000000,0.002930,0.006348,-1.044434,0.084047,0.057348,-0.036871,0.001490,0.010889,-1.003047,0.165223,0.057393,-0.094591,-0.539675,0.051661,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001490,0.010889,-1.003047,0.165223,0.057393,-0.094591,0.167326,0.000000,0.000000,2.000000,4.000000,0.465873
337816.000000,0.002930,0.006836,-1.041504,0.266974,0.057348,-0.158823,0.001490,0.010889,-1.003044,0.161057,0.056139,-0.093694,-0.539686,0.051689,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001490,0.010889,-1.003044,0.161057,0.056139,-0.093694,0.167342,0.000000,0.000000,2.000000,4.000000,0.465873
337817.000000,0.001953,0.006348,-1.048340,0.145022,0.057348,-0.036871,0.001491,0.010889,-1.003042,0.158161,0.054821,-0.091799,-0.539699,0.051716,-0.045057,-0.000000,0.000000,-0.000000,-0.000000,0.001491,0.010889,-1.003042,0.158161,0.054821,-0.091799,0.167361,0.000000,0.000000,2.000000,4.000000,0.465873
337818.000000,0.003418,0.004883,-1.045898,0.084047,0.057348,-0.097847,0.001491,0.010889,-1.003040,0.156412,0.054093,-0.089389,-0.539715,0.051742,-0.045057,-0.000000,0.000000,-0.000000,-0.000000,0.001491,0.010889,-1.003040,0.156412,0.054093,-0.089389,0.167381,0.000000,0.000000,2.000000,4.000000,0.465873
337819.000000,0.003906,0.008789,-1.043945,0.145022,-0.003628,-0.097847,0.001491,0.010889,-1.003039,0.154744,0.053506,-0.086563,-0.539732,0.051767,-0.045057,-0.000000,0.000000,-0.000000,-0.000000,0.001491,0.010889,-1.003039,0.154744,0.053506,-0.086563,0.167402,0.000000,0.000000,2.000000,4.000000,0.465873
337820.000000,0.002441,0.006348,-1.040039,0.145022,0.057348,-0.158823,0.001491,0.010888,-1.003038,0.152587,0.052441,-0.084181,-0.539752,0.051792,-0.045057,-0.000000,0.000000,-0.000000,-0.000000,0.001491,0.010888,-1.003038,0.152587,0.052441,-0.084181,0.167426,0.000000,0.000000,2.000000,4.000000,0.465873
337823.000000,0.004883,0.005371,-1.046387,0.205998,0.118323,-0.097847,0.001492,0.010886,-1.003036,0.151184,0.048629,-0.091858,-0.539815,0.051856,-0.045058,-0.000000,0.000000,-0.000000,-0.000000,0.001492,0.010886,-1.003036,0.151184,0.048629,-0.091858,0.167500,0.000000,0.000000,2.000000,4.000000,0.465873
337824.000000,0.002441,0.006348,-1.045898,0.084047,0.057348,-0.097847,0.001493,0.010885,-1.003037,0.152725,0.048563,-0.097548,-0.539835,0.051877,-0.045058,-0.000000,0.000000,-0.000000,-0.000000,0.001493,0.010885,-1.003037,0.152725,0.048563,-0.097548,0.167523,0.000000,0.000000,2.000000,4.000000,0.465873
337825.000000,0.002930,0.004395,-1.042969,0.145022,-0.003628,-0.158823,0.001493,0.010883,-1.003038,0.154026,0.049377,-0.102571,-0.539853,0.051898,-0.045058,-0.000000,0.000000,-0.000000,-0.000000,0.001493,0.010883,-1.003038,0.154026,0.049377,-0.102571,0.167544,0.000000,0.000000,2.000000,4.000000,0.465873
337826.000000,0.005371,0.005371,-1.044434,0.145022,-0.003628,-0.097847,0.001494,0.010882,-1.003039,0.154831,0.050270,-0.106955,-0.539870,0.051920,-0.045058,-0.000000,0.000000,-0.000000,-0.000000,0.001494,0.010882,-1.003039,0.154831,0.050270,-0.106955,0.167565,0.000000,0.000000,2.000000,4.000000,0.465873
337827.000000,0.003418,0.004395,-1.043457,0.084047,0.057348,-0.158823,0.001494,0.010881,-1.003040,0.155467,0.050417,-0.111042,-0.539886,0.051942,-0.045058,-0.000000,0.000000,-0.000000,-0.000000,0.001494,0.010881,-1.003040,0.155467,0.050417,-0.111042,0.167586,0.000000,0.000000,2.000000,4.000000,0.465873
337828.000000,0.003418,0.006836,-1.048828,0.266974,0.057348,-0.219798,0.001495,0.010880,-1.003042,0.155811,0.050007,-0.114919,-0.539902,0.051964,-0.045059,-0.000000,0.000000,-0.000000,-0.000000,0.001495,0.010880,-1.003042,0.155811,0.050007,-0.114919,0.167605,0.000000,0.000000,2.000000,4.000000,0.465873
337829.000000,0.004395,0.004395,-1.042969,0.145022,0.057348,-0.097847,0.001496,0.010878,-1.003045,0.155812,0.049504,-0.119014,-0.539918,0.051986,-0.045059,-0.000000,0.000000,-0.000000,-0.000000,0.001496,0.010878,-1.003045,0.155812,0.049504,-0.119014,0.167625,0.000000,0.000000,2.000000,4.000000,0.465873
337830.000000,0.003418,0.006348,-1.046875,0.205998,0.057348,-0.036871,0.001497,0.010877,-1.003048,0.155913,0.048753,-0.123161,-0.539934,0.052006,-0.045059,-0.000000,0.000000,-0.000000,-0.000000,0.001497,0.010877,-1.003048,0.155913,0.048753,-0.123161,0.167645,0.000000,0.000000,2.000000,4.000000,0.465873
337833.000000,0.003418,0.006348,-1.042969,0.266974,0.057348,0.024104,0.001499,0.010872,-1.003060,0.161122,0.046428,-0.131395,-0.539974,0.052062,-0.045059,-0.000000,0.000000,-0.000000,-0.000000,0.001499,0.010872,-1.003060,0.161122,0.046428,-0.131395,0.167694,0.000000,0.000000,2.000000,4.000000,0.465873
337834.000000,0.001465,0.006836,-1.046875,0.266974,-0.064604,-0.097847,0.001500,0.010870,-1.003065,0.165563,0.047255,-0.132964,-0.539980,0.052081,-0.045059,-0.000000,0.000000,-0.000000,-0.000000,0.001500,0.010870,-1.003065,0.165563,0.047255,-0.132964,0.167704,0.000000,0.000000,2.000000,4.000000,0.465873
337835.000000,0.002441,0.005371,-1.046387,0.205998,0.057348,-0.097847,0.001501,0.010868,-1.003070,0.171642,0.047459,-0.131238,-0.539980,0.052101,-0.045060,-0.000000,0.000000,-0.000000,-0.000000,0.001501,0.010868,-1.003070,0.171642,0.047459,-0.131238,0.167707,0.000000,0.000000,2.000000,4.000000,0.465873
337836.000000,0.003906,0.006348,-1.044922,0.205998,0.118323,-0.097847,0.001503,0.010866,-1.003076,0.178611,0.046362,-0.127100,-0.539973,0.052119,-0.045060,-0.000000,0.000000,-0.000000,-0.000000,0.001503,0.010866,-1.003076,0.178611,0.046362,-0.127100,0.167704,0.000000,0.000000,2.000000,4.000000,0.465873
337837.000000,0.003418,0.009277,-1.042480,0.205998,-0.003628,-0.097847,0.001504,0.010864,-1.003082,0.185202,0.045172,-0.122786,-0.539960,0.052136,-0.045060,-0.000000,0.000000,-0.000000,-0.000000,0.001504,0.010864,-1.003082,0.185202,0.045172,-0.122786,0.167694,0.000000,0.000000,2.000000,4.000000,0.465873
337838.000000,0.003418,0.005371,-1.041016,0.205998,-0.064604,-0.097847,0.001505,0.010862,-1.003089,0.191217,0.044297,-0.118863,-0.539940,0.052152,-0.045060,-0.000000,0.000000,-0.000000,-0.000000,0.001505,0.010862,-1.003089,0.191217,0.044297,-0.118863,0.167678,0.000000,0.000000,2.000000,4.000000,0.465873
337839.000000,0.004395,0.005859,-1.042969,0.084047,-0.003628,-0.097847,0.001506,0.010860,-1.003096,0.196640,0.042160,-0.114782,-0.539915,0.052166,-0.045060,-0.000000,0.000000,-0.000000,-0.000000,0.001506,0.010860,-1.003096,0.196640,0.042160,-0.114782,0.167656,0.000000,0.000000,2.000000,4.000000,0.465873
337840.000000,0.004395,0.007324,-1.044434,0.145022,-0.003628,-0.158823,0.001508,0.010857,-1.003103,0.200095,0.037967,-0.110822,-0.539887,0.052176,-0.045060,-0.000000,0.000000,-0.000000,-0.000000,0.001508,0.010857,-1.003103,0.200095,0.037967,-0.110822,0.167630,0.000000,0.000000,2.000000,4.000000,0.465873
337843.000000,0.003906,0.005859,-1.042969,0.145022,0.057348,-0.097847,0.001512,0.010850,-1.003127,0.194015,0.022667,-0.111300,-0.539810,0.052175,-0.045060,-0.000000,0.000000,-0.000000,-0.000000,0.001512,0.010850,-1.003127,0.194015,0.022667,-0.111300,0.167554,0.000000,0.000000,2.000000,4.000000,0.465873
337844.000000,0.002930,0.005371,-1.042969,0.205998,-0.003628,-0.097847,0.001513,0.010847,-1.003135,0.190058,0.017939,-0.115100,-0.539791,0.052165,-0.045060,-0.000000,0.000000,-0.000000,-0.000000,0.001513,0.010847,-1.003135,0.190058,0.017939,-0.115100,0.167534,0.000000,0.000000,2.000000,4.000000,0.465873
337845.000000,0.001953,0.006836,-1.046387,0.145022,-0.003628,-0.097847,0.001515,0.010844,-1.003144,0.186246,0.014409,-0.118182,-0.539777,0.052152,-0.045060,-0.000000,0.000000,-0.000000,-0.000000,0.001515,0.010844,-1.003144,0.186246,0.014409,-0.118182,0.167517,0.000000,0.000000,2.000000,4.000000,0.465873
337846.000000,0.001953,0.006348,-1.044922,0.145022,0.057348,-0.158823,0.001516,0.010842,-1.003152,0.182964,0.012232,-0.120284,-0.539765,0.052136,-0.045059,-0.000000,0.000000,-0.000000,-0.000000,0.001516,0.010842,-1.003152,0.182964,0.012232,-0.120284,0.167502,0.000000,0.000000,2.000000,4.000000,0.465873
337847.000000,0.003906,0.004883,-1.041992,0.145022,-0.003628,-0.158823,0.001518,0.010839,-1.003161,0.179751,0.011048,-0.122313,-0.539757,0.052119,-0.045059,-0.000000,0.000000,-0.000000,-0.000000,0.001518,0.010839,-1.003161,0.179751,0.011048,-0.122313,0.167491,0.000000,0.000000,2.000000,4.000000,0.465873
337848.000000,0.002930,0.004883,-1.043457,0.084047,-0.064604,-0.097847,0.001520,0.010836,-1.003170,0.175677,0.010341,-0.124464,-0.539753,0.052102,-0.045059,-0.000000,0.000000,-0.000000,-0.000000,0.001520,0.010836,-1.003170,0.175677,0.010341,-0.124464,0.167484,0.000000,0.000000,2.000000,4.000000,0.465873
337849.000000,0.002930,0.005371,-1.044434,0.145022,-0.003628,-0.158823,0.001521,0.010833,-1.003179,0.170419,0.008979,-0.126011,-0.539754,0.052083,-0.045059,-0.000000,0.000000,-0.000000,-0.000000,0.001521,0.010833,-1.003179,0.170419,0.008979,-0.126011,0.167481,0.000000,0.000000,2.000000,4.000000,0.465873
337850.000000,0.001465,0.007324,-1.044434,0.266974,-0.003628,-0.097847,0.001523,0.010830,-1.003188,0.165023,0.006346,-0.126807,-0.539760,0.052061,-0.045059,-0.000000,0.000000,-0.000000,-0.000000,0.001523,0.010830,-1.003188,0.165023,0.006346,-0.126807,0.167483,0.000000,0.000000,2.000000,4.000000,0.465873
337853.000000,0.002441,0.002930,-1.044434,0.205998,0.057348,-0.219798,0.001527,0.010822,-1.003214,0.164846,0.000558,-0.129251,-0.539785,0.051983,-0.045058,-0.000000,0.000000,-0.000000,-0.000000,0.001527,0.010822,-1.003214,0.164846,0.000558,-0.129251,0.167494,0.000000,0.000000,2.000000,4.000000,0.465873
337854.000000,0.003906,0.004883,-1.046387,0.205998,0.118323,-0.097847,0.001529,0.010819,-1.003222,0.168641,0.000194,-0.130706,-0.539788,0.051956,-0.045057,-0.000000,0.000000,-0.000000,-0.000000,0.001529,0.010819,-1.003222,0.168641,0.000194,-0.130706,0.167492,0.000000,0.000000,2.000000,4.000000,0.465873
337855.000000,0.003906,0.004395,-1.043945,0.145022,0.057348,-0.158823,0.001530,0.010816,-1.003230,0.172484,0.001515,-0.132339,-0.539787,0.051929,-0.045057,-0.000000,0.000000,-0.000000,-0.000000,0.001530,0.010816,-1.003230,0.172484,0.001515,-0.132339,0.167486,0.000000,0.000000,2.000000,4.000000,0.465873
337856.000000,0.004883,0.006836,-1.044434,0.205998,-0.003628,-0.097847,0.001531,0.010813,-1.003238,0.176549,0.004775,-0.133851,-0.539781,0.051906,-0.045057,-0.000000,0.000000,-0.000000,-0.000000,0.001531,0.010813,-1.003238,0.176549,0.004775,-0.133851,0.167476,0.000000,0.000000,2.000000,4.000000,0.465873
337857.000000,0.002930,0.006348,-1.043457,0.205998,-0.003628,-0.097847,0.001532,0.010811,-1.003245,0.180809,0.008729,-0.134915,-0.539772,0.051887,-0.045057,-0.000000,0.000000,-0.000000,-0.000000,0.001532,0.010811,-1.003245,0.180809,0.008729,-0.134915,0.167463,0.000000,0.000000,2.000000,4.000000,0.465873
337858.000000,0.006348,0.006836,-1.046875,0.145022,-0.003628,-0.097847,0.001533,0.010808,-1.003252,0.184804,0.012377,-0.135077,-0.539758,0.051872,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001533,0.010808,-1.003252,0.184804,0.012377,-0.135077,0.167447,0.000000,0.000000,2.000000,4.000000,0.465873
337859.000000,0.004395,0.007813,-1.042969,0.266974,-0.003628,-0.097847,0.001534,0.010805,-1.003259,0.188050,0.015653,-0.134051,-0.539741,0.051860,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001534,0.010805,-1.003259,0.188050,0.015653,-0.134051,0.167428,0.000000,0.000000,2.000000,4.000000,0.465873
337860.000000,0.001953,0.004883,-1.044434,0.205998,-0.003628,-0.097847,0.001535,0.010802,-1.003266,0.190577,0.018312,-0.131762,-0.539722,0.051850,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001535,0.010802,-1.003266,0.190577,0.018312,-0.131762,0.167407,0.000000,0.000000,2.000000,4.000000,0.465873
337863.000000,0.003418,0.007813,-1.042969,0.205998,-0.003628,-0.036871,0.001539,0.010793,-1.003285,0.194529,0.017573,-0.119160,-0.539654,0.051823,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001539,0.010793,-1.003285,0.194529,0.017573,-0.119160,0.167335,0.000000,0.000000,2.000000,4.000000,0.465873
337864.000000,0.005371,0.004395,-1.043457,0.145022,0.118323,-0.097847,0.001540,0.010791,-1.003291,0.194681,0.016245,-0.113474,-0.539630,0.051812,-0.045056,-0.000000,0.000000,-0.000000,-0.000000,0.001540,0.010791,-1.003291,0.194681,0.016245,-0.113474,0.167310,0.000000,0.000000,2.000000,4.000000,0.465873
337865.000000,0.001465,0.005371,-1.042969,0.023071,0.118323,-0.097847,0.001541,0.010788,-1.003297,0.194344,0.016553,-0.107437,-0.539607,0.051801,-0.045055,-0.000000,0.000000,-0.000000,-0.000000,0.001541,0.010788,-1.003297,0.194344,0.016553,-0.107437,0.167285,0.000000,0.000000,2.000000,4.000000,0.465873
337866.000000,0.000488,0.006836,-1.043945,0.205998,-0.003628,-0.036871,0.001542,0.010785,-1.003302,0.192297,0.019304,-0.101761,-0.539585,0.051792,-0.045055,-0.000000,0.000000,-0.000000,-0.000000,0.001542,0.010785,-1.003302,0.192297,0.019304,-0.101761,0.167262,0.000000,0.000000,2.000000,4.000000,0.465873
337867.000000,0.001953,0.005859,-1.043457,0.145022,-0.064604,-0.097847,0.001544,0.010783,-1.003307,0.188235,0.023408,-0.096156,-0.539568,0.051788,-0.045055,-0.000000,0.000000,-0.000000,-0.000000,0.001544,0.010783,-1.003307,0.188235,0.023408,-0.096156,0.167244,0.000000,0.000000,2.000000,4.000000,0.465873
337868.000000,0.003906,0.005859,-1.045410,0.084047,0.057348,-0.097847,0.001545,0.010780,-1.003312,0.183362,0.026575,-0.090514,-0.539555,0.051787,-0.045055,-0.000000,0.000000,-0.000000,-0.000000,0.001545,0.010780,-1.003312,0.183362,0.026575,-0.090514,0.167232,0.000000,0.000000,2.000000,4.000000,0.465873
337869.000000,0.002930,0.005371,-1.042480,0.145022,-0.003628,-0.219798,0.001547,0.010778,-1.003317,0.177877,0.028225,-0.086265,-0.539548,0.051788,-0.045055,-0.000000,0.000000,-0.000000,-0.000000,0.001547,0.010778,-1.003317,0.177877,0.028225,-0.086265,0.167225,0.000000,0.000000,2.000000,4.000000,0.465873
337870.000000,0.004395,0.006348,-1.043945,0.266974,-0.003628,-0.036871,0.001549,0.010775,-1.003321,0.171194,0.029364,-0.084976,-0.539548,0.051790,-0.045055,-0.000000,0.000000,-0.000000,-0.000000,0.001549,0.010775,-1.003321,0.171194,0.029364,-0.084976,0.167225,0.000000,0.000000,2.000000,4.000000,0.465873
