I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.083336,-62.250000,1.954410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.190475,-58.095238,2.585442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.083336,-62.250000,1.954410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.190475,-58.095238,2.585442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.083336,-62.250000,1.954410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.190475,-58.095238,2.585442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.083336,-62.250000,1.954410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.190475,-58.095238,2.585442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.083336,-62.250000,1.954410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.136364,-58.000000,2.646284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.000000,-62.384617,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.136364,-58.000000,2.646284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.000000,-62.384617,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.136364,-58.000000,2.646284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.000000,-62.384617,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.136364,-58.000000,2.646284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.000000,-62.384617,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.136364,-58.000000,2.646284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.000000,-62.384617,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.136364,-58.000000,2.646284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.000000,-62.384617,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.136364,-58.000000,2.646284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.000000,-62.384617,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.136364,-58.000000,2.646284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.400002,-58.299999,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.400002,-58.299999,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.400002,-58.299999,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.400002,-58.299999,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.400002,-58.299999,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.400002,-58.299999,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.400002,-58.299999,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.299999,-58.150002,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.299999,-58.150002,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.299999,-58.150002,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.299999,-58.150002,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.299999,-58.150002,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.299999,-58.150002,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.142860,-62.071430,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.299999,-58.150002,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.230766,-62.153847,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.230766,-62.153847,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.230766,-62.153847,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.230766,-62.153847,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.230766,-62.153847,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.230766,-62.153847,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.230766,-62.153847,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.150002,-58.200001,2.523133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.083336,-62.250000,1.954410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.210526,2.459245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.083336,-62.250000,1.954410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.210526,2.459245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.083336,-62.250000,1.954410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.210526,2.459245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.083336,-62.250000,1.954410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.210526,2.459245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.083336,-62.250000,1.954410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.210526,2.459245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.083336,-62.250000,1.954410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.210526,2.459245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.083336,-62.250000,1.954410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.210526,2.459245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.230766,-62.153847,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.210526,2.459245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.230766,-62.153847,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.210526,2.459245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.230766,-62.153847,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.210526,2.459245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.230766,-62.153847,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.210526,2.459245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.230766,-62.153847,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.210526,2.459245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.230766,-62.153847,2.034214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.210526,2.459245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.428574,-62.142857,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.210526,2.459245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.428574,-62.142857,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.500000,2.256758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.428574,-62.142857,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.500000,2.256758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.428574,-62.142857,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.500000,2.256758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.428574,-62.142857,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.500000,2.256758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.428574,-62.142857,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.500000,2.256758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.428574,-62.142857,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.500000,2.256758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.428574,-62.142857,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.500000,2.256758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.428574,-62.142857,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,-58.500000,2.256758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.428574,-62.142857,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.714287,-58.500000,2.111004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
